File,Total Changes,Number of Contributors,Contributors
packages/react-reconciler/src/ReactFiberBeginWork.js,288,34,"Sebastian Markbåge, Josh Story, Jack Pope, Andrew Clark, Jan Kassens, Ricky, dan, idango10, Noah Lemen, Sophie Alpert, Hans Otto Wirtz, Tianyu Yao, Samuel Susla, jddxf, Dan Abramov, Sebastian Silbermann, Brian Vaughn, Nick S. Plekhanov, Laura buns, Dominic Gannaway, lunaruan, Heaven, Maksim Markelov, Héctor Ramos, ryota-murakami, Chang Yan, Nicole Levy, Mateusz Burzyński, Dustan Kasten, Rauno Freiberg, Neil Kistner, Reinier Hartog, Raphael Amorim, shawn wang"
packages/react-reconciler/src/ReactFiberWorkLoop.old.js,277,28,"Jan Kassens, Tianyu Yao, Andrew Clark, Samuel Susla, Sebastian Markbåge, Josh Story, Victoria Graf, Lauren Tan, Luna Ruan, dan, Dan Abramov, Brian Vaughn, 180909, Joseph Savona, Bowen, salazarm, Ricky, Sebastian Silbermann, niexq, Shannon Feng, Rick Hanlon, neroneroffy, togami2864, Dominic Gannaway, Ikko Ashimine, inottn, CY Lim, E-Liang Tan"
scripts/rollup/bundles.js,274,39,"Sebastian Markbåge, Jack Pope, Jan Kassens, Alex Yang, Josh Story, Andrew Clark, Andrey Lunyov, Samuel Susla, Mark Erikson, Ricky, Colin McDonnell, mofeiZ, Timothy Yung, dan, Moti Zilberman, Brian Vaughn, salazarm, Dan Abramov, Julien Gilli, Dominic Gannaway, Richard Maisano, Nicolas Gallagher, Luna Ruan, Sunil Pai, lunaruan, James Ide, Kunuk Nykjær, Eli White, Caleb Meredith, Maksim Markelov, Flarnie Marchan, rivenhk, Andy Davies, Dustan Kasten, Peter Ruibal, Ben Alpert, Sasha Aickin, Taehwan, No, Tom Occhino"
CHANGELOG.md,206,42,"Ricky, Sebastian Silbermann, KZ-Lucas, dan, Josh Story, Strek, Brian Vaughn, Dan Abramov, Saikat Guha, Rick Hanlon, Andrew Clark, Sunil Pai, Sung M. Kim, Luna Ruan, Philipp, Sam Kvale, Ali Torki, Rodrigo Bermúdez Schettino, Toru Kobayashi, Ronald Eddy Jr, Thomas Broadley, Flarnie Marchan, Dave Garwacke, skratchdot, watadarkstar, Jane Manchun Wong, António Nuno Monteiro, Charlie Garcia, tomocchino, Avinash Kondeti, Paul O’Shannessy, jaaberg, Keyan Zhang, hjmoss, Bradford, Stolenkid, Adrian Sieber, Scott Feeney, Ben Alpert, jim, Jim, Reed Loden"
src/core/ReactCompositeComponent.js,204,37,"Ben Alpert, Jim, Laurent Etiemble, Sebastian Markbage, Paul O’Shannessy, Lee Byron, Rick Beerendonk, syranide, yungsters, Scott Feeney, Cheng Lou, Charles Marsh, Yuval Dekel, Marshall Roch, Dan Abramov, Daniel Schonfeld, Paul O'Shannessy, plievone, Christoph Pojer, Pete Hunt, Jing Chen, Andreas Svensson, cpojer, Ben Newman, Tim Yung, Paul Shen, John Watson, Brian Kim, Felix Kling, Matti Nelimarkka, Christopher Chedeau, Samangan, Daniel Miladinov, Clay Allsopp, Danny Ben-David, CommitSyncScript, ngavalas"
packages/react-reconciler/src/ReactFiberWorkLoop.js,199,25,"Jan Kassens, Sebastian Markbåge, Josh Story, Sebastian Silbermann, Andrew Clark, Ricky, Noah Lemen, Tianyu Yao, Samuel Susla, Sophie Alpert, Hans Otto Wirtz, Chris, jddxf, Luna Ruan, Brian Vaughn, Dan Abramov, Jovi De Croock, Christoph Nakazawa, Dominic Gannaway, Laura buns, Heaven, lunaruan, Sunil Pai, Paul Shen, Min ho Kim"
packages/react-reconciler/src/ReactFiberCommitWork.js,197,27,"Sebastian Markbåge, Sebastian Silbermann, Jack Pope, Andrew Clark, Timothy Yung, Jan Kassens, Ricky, Pieter De Baets, Sophie Alpert, idango10, Tianyu Yao, Josh Story, Samuel Susla, Dan Abramov, Dominic Gannaway, Brian Vaughn, Laura buns, Luna Ruan, Benoit Girard, Deniz Susman, Héctor Ramos, Kazuhiro Sera, jddxf, Thibault Malbranche, Roman Hotsiy, Raphael Amorim, Clement Hoang"
packages/react-reconciler/src/ReactFiberCommitWork.new.js,197,23,"Jan Kassens, Samuel Susla, Josh Story, lauren, Andrew Clark, c0dedance, Lauren Tan, zhangrenyang, Luna Ruan, Ricky, sunderls, dan, Sebastian Markbåge, Dan Abramov, Brian Vaughn, Joseph Savona, salazarm, Bowen, wangao, Benoit Girard, Rick Hanlon, CY Lim, Dominic Gannaway"
src/renderers/shared/fiber/ReactFiberScheduler.js,195,14,"Andrew Clark, Sebastian Markbåge, Anushree Subramani, Dan Abramov, Sophie Alpert, Clement Hoang, Brian Vaughn, Dustan Kasten, Ben Alpert, Sebastian Markbage, Dominic Gannaway, Sean Gransee, Tetsuharu OHZEKI, Toru Kobayashi"
scripts/error-codes/codes.json,191,25,"Sebastian Markbåge, Josh Story, Sophie Alpert, Andrew Clark, Ricky, dan, mofeiZ, Colin McDonnell, Samuel Susla, Lauren Tan, salazarm, Brian Vaughn, Dan Abramov, Timothy Yung, CY Lim, Dominic Gannaway, Luna Ruan, Sebastian Markbage, Owen Conti, Dan, Flarnie Marchan, Sasha Aickin, Brandon Dail, Phil Rajchgot, Keyan Zhang"
